time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
24:03.3,2.67,"6km NNW of Boron, CA",reviewed,0,110,ci,36.0,,0.19,82.0,mc,-117.6858333,35.0466667,-0.962
16:07.8,2.07,"29km NE of Bertsch-Oceanview, California",reviewed,0,66,uw,11.0,,0.16,117.0,ml,-123.9275,41.95483333,35.21
51:46.3,2.91,Central California,reviewed,0,130,nc,27.0,0.04144,0.05,85.0,md,-118.8393333,37.4865,3.848
56:57.3,2.57,Northern California,reviewed,0,102,nc,12.0,0.8748,0.13,301.0,md,-120.1676667,39.6048333,1.86
59:17.1,2.15,"2km N of Villa Park, CA",reviewed,0,71,ci,44.0,0.01866,0.19,50.0,ml,-117.8113333,33.8323333,8.652
56:00.6,3.36,"26km SSE of Malibu, CA",reviewed,0,174,ci,44.0,,0.31,117.0,ml,-118.7078333,33.7888333,1.225
59:51.1,2.1,"25km ENE of Little Lake, California",reviewed,0,68,ci,0.0,0.08248,0.402,144.0,mh,-117.671,36.053,-1.483
27:52.3,3.7,"3km WSW of Delta, B.C., MX",reviewed,0,211,ci,0.0,0.4395,0.426,215.9,ml,-115.218,32.345,5.997
58:23.8,2.0,Washington,reviewed,0,62,uw,9.0,0.1367,0.32,126.0,md,-120.3953333,46.9785,-0.013
32:36.2,3.01,"8km ENE of Imperial, CA",reviewed,0,139,ci,0.0,0.05747,0.223,75.5,ml,-115.5,32.882,4.151
25:53.6,2.27,Central California,reviewed,0,79,nc,32.0,0.03514,0.08,146.0,md,-121.5453333,36.824,5.545
34:36.8,2.1,"Mount St. Helens area, Washington",reviewed,0,68,uw,16.0,,0.08,52.0,md,-122.188,46.1968333,-0.929
43:36.3,2.06,offshore Northern California,reviewed,0,65,nc,12.0,0.2694,0.25,301.0,md,-124.6903333,40.4648333,22.147
37:30.4,3.32,"18km ESE of Little Lake, CA",reviewed,0,170,ci,51.0,0.08129,0.14,35.0,ml,-117.7153333,35.8793333,4.43
03:50.4,2.01,"San Francisco Bay area, California",reviewed,0,62,nc,67.0,0.08378,0.12,55.0,md,-121.9511667,37.7821667,9.902
05:48.2,2.32,"15km WSW of Petrolia, CA",reviewed,0,83,nc,20.0,0.08452,0.13,249.0,md,-124.453,40.2851667,19.65
26:23.4,3.0,Northern California,reviewed,0,138,nc,24.0,0.06396,0.06,70.0,ml,-124.2171667,40.4178333,27.049
01:45.1,3.1,"22km N of Pine Mountain Club, CA",reviewed,0,148,ci,37.0,,0.27,99.0,ml,-119.1473333,35.0393333,0.271
39:33.9,2.7,"Olympic Peninsula, Washington",reviewed,0,112,uw,23.0,,0.44,171.0,md,-124.0043333,47.4298333,24.511
21:44.1,3.01,"14km SW of Estacion Coahuila, B.C., MX",reviewed,0,139,ci,10.0,0.1951,0.22,263.0,ml,-115.111,32.1093333,14.382
27:28.8,2.99,Central California,reviewed,0,138,nc,13.0,0.01982,0.08,76.0,md,-121.0131667,36.4438333,3.394
09:38.0,2.0,"28km ENE of Little Lake, California",reviewed,0,62,ci,0.0,0.1109,0.143,151.5,mc,-117.637,36.06,1.107
44:41.7,2.3,Central California,reviewed,0,81,nc,26.0,0.08108,0.04,115.0,md,-118.8751667,37.5201667,4.022
58:39.3,2.43,"4km W of Estacion Coahuila, B.C., MX",reviewed,0,91,ci,9.0,0.5411,0.34,253.0,ml,-115.044,32.1988333,5.97
47:37.2,3.0,Washington,reviewed,0,138,uw,7.0,0.05298,0.2,143.0,md,-122.7543333,46.7093333,0.785
47:22.5,2.14,Utah,reviewed,0,70,uu,12.0,0.1553,0.15,83.0,md,-111.2058333,39.452,1.65
54:24.2,2.12,"2km ESE of Hawthorne, CA",reviewed,0,69,ci,46.0,0.03791,0.33,82.0,ml,-118.3288333,33.9068333,12.037
38:35.2,3.05,Northern California,reviewed,0,143,nc,87.0,0.05045,0.09,63.0,md,-121.7421667,36.9865,14.991
10:15.3,2.69,"12km NE of West Yellowstone, Montana",reviewed,0,111,uu,12.0,0.02487,0.12,72.0,ml,-110.9878333,44.7381667,6.0
